,Buy & Hold,200-Day MA Strategy
Final Value,399742.9649653102,288678.22628322657
Total Return,2.997429649653102,1.886782262832266
CAGR,0.13430850190992527,0.10121992241910593
Sharpe Ratio,0.7991368242826506,0.9046339206370468
Max Drawdown,-33.71725779466055,-19.80676572214528
